Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.096553602,0.101026046,0.094446682,0.099160045,0.106380279,0.06912987,0.107121226,0.10754216,0.107619571,0.075553204,0.073303382,0.080844173,0.09216805,0.087661305,0.097053045,0.105672912,0.110683196,0.107856459,0.132526491,0.133347188,0.077635929,0.101350199,0.104725487,0.113743807,0.119989581,0.123808082,0.1112912,0.108522853,0.132919925,0.146137434,0.130212245,0.12049483,0.121843449,0.121843449
Africa Eastern and Southern,AFE,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.356294473,0.358164052,0.361092361,0.363215051,0.365989674,0.359658119,0.359838633,0.359803601,0.339724726,0.334011092,0.331087098,0.328510523,0.335139268,0.341299606,0.33000634,0.314606909,0.307089207,0.309694142,0.292921008,0.285480978,0.270610789,0.271675469,0.270773263,0.269209252,0.254918761,0.250992615,0.247415143,0.243536178,0.241057159,0.218597662,0.219200528,0.205151451,0.198431354,0.198431354
Afghanistan,AFG,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,,,,,,,,,,0.031199935,0.032028474,0.024842228,0.024417667,0.021327897,0.027193243,0.0287048,0.035985394,0.066051216,0.08634067,0.096672865,0.140999288,0.107066143,0.086152228,0.079074671,0.083130601,0.07331721,0.07653617,0.074379207,0.065416738,0.065189711,0.092468543,0.102715268,0.105878662,0.105878662
Africa Western and Central,AFW,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.153140898,0.16236094,0.161794145,0.156804337,0.167426694,0.185069333,0.176323496,0.163729167,0.163140474,0.168751077,0.170427196,0.146605683,0.150350391,0.138483232,0.132017387,0.119656216,0.110059887,0.110076796,0.098943598,0.104246308,0.10600155,0.102704947,0.106927011,0.105935768,0.102831882,0.106482302,0.104190305,0.106726961,0.107602049,0.106456459,0.108020958,0.104755996,0.098961674,0.098961674
Angola,AGO,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.135733901,0.148291758,0.195441959,0.182515126,0.178914813,0.190727401,0.185996224,0.184532364,0.191140155,0.169844721,0.15983461,0.138213496,0.146125623,0.134445332,0.103325048,0.096661897,0.088605154,0.089345677,0.097708928,0.100919509,0.101436594,0.097666801,0.107430954,0.110940194,0.117767511,0.114269326,0.102207144,0.097331538,0.102925959,0.081929551,0.098752014,0.103763275,0.105947565,0.105947565
Albania,ALB,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.332850293,0.193499498,0.1661297,0.161771724,0.126061165,0.116588288,0.101567545,0.113603715,0.163148461,0.158994747,0.15539287,0.173007834,0.172644118,0.171905213,0.153680142,0.144473114,0.139254536,0.128729239,0.127747026,0.132251559,0.141288203,0.127140833,0.131526038,0.137450925,0.12832628,0.115037848,0.131325008,0.125822892,0.115098799,0.109606161,0.111137057,0.096966894,0.092946099,0.092946099
Arab World,ARB,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.280422419,0.281019461,0.291827781,0.300450006,0.300620467,0.293594332,0.291977974,0.280250403,0.275863588,0.269300843,0.278973304,0.284997637,0.28330672,0.274653857,0.279264474,0.276760468,0.27497235,0.279472512,0.285558768,0.289293026,0.285369982,0.295192443,0.293829209,0.296194254,0.294242489,0.287539128,0.286712055,0.276254534,0.273559025,0.271536979,0.272403282,0.260723045,0.261318999,0.261318999
United Arab Emirates,ARE,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.312848684,0.292433731,0.30445781,0.313570271,0.313492108,0.309664655,0.298290624,0.305101019,0.305665089,0.273588743,0.308864072,0.308253626,0.297828816,0.287312342,0.291738211,0.275880696,0.288274032,0.334574976,0.355419444,0.363812006,0.35309928,0.361945888,0.362966987,0.353779082,0.34588598,0.336543986,0.321554451,0.290654358,0.303738079,0.316101089,0.311950097,0.298194071,0.286516921,0.286516921
Argentina,ARG,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,0.173681375,0.163832601,0.156706505,0.152601251,0.15924118,0.164272254,0.157176832,0.159535744,0.167436211,0.164936165,0.165712197,0.175648188,0.17594286,0.178659169,0.1684574,0.164978671,0.161153893,0.160377067,0.156778217,0.15314507,0.150554617,0.155400035,0.1552643,0.156663583,0.157448736,0.159087945,0.152502917,0.15534141,0.1530422,0.157657074,0.159988196,0.15422662,0.148890709,0.148890709
Armenia,ARM,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,1.121934792,0.97970865,0.500616742,0.260757698,0.30758588,0.212837724,0.265100977,0.256996966,0.222393766,0.241488529,0.22426818,0.169107844,0.166009215,0.162714093,0.169592776,0.149246209,0.152183175,0.156010773,0.144756327,0.135253248,0.147359342,0.158920812,0.149046174,0.150884289,0.142558369,0.136136132,0.134044325,0.1332938,0.13372953,0.155090023,0.159211727,0.137255202,0.134313184,0.134313184
