Country Name,Country Code,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,AFG,WGI_DUMMY,,,,,,-1.291704774,,-1.176012278,,-1.271724224,,-1.251137018,-1.344179749,-1.35064733,-1.447252393,-1.446292281,-1.61325109,-1.672095537,-1.552298784,-1.645391107,-1.600470781,-1.430372834,-1.445960641,-1.364934087,-1.354713082,-1.540227771,-1.530074596,-1.502875924,-1.419310093,-1.493360877,-1.152265787,-1.183684349,-1.154931784,
Afghanistan,AFG,WGI_DUMMY,,,,,,-2.175166607,,-2.102291822,,-2.173946142,,-1.587687016,-1.175768018,-0.945146263,-1.228815675,-1.473651528,-1.440110564,-1.527795076,-1.50775218,-1.478315592,-1.474100471,-1.375535131,-1.401462913,-1.361646175,-1.397394896,-1.291468024,-1.386596799,-1.50175786,-1.519112587,-1.611539483,-1.670587897,-1.880034804,-1.987013698,
Afghanistan,AFG,WGI_DUMMY,,,,,,-2.417309523,,-2.427354574,,-2.438968897,,-2.035033703,-2.198372364,-2.295682192,-2.06750989,-2.219134569,-2.41337347,-2.69136095,-2.71142149,-2.579151869,-2.502059698,-2.418561459,-2.519349098,-2.411068439,-2.56262517,-2.662156105,-2.794975519,-2.753441334,-2.65253973,-2.702721119,-2.518676043,-2.544955969,-2.484080553,
Afghanistan,AFG,WGI_DUMMY,,,,,,-1.788075447,,-1.734886765,,-1.780660748,,-1.673473239,-1.5582937,-1.693925261,-1.662965536,-1.879004836,-1.852560043,-1.903307557,-1.876118779,-1.87005806,-1.922500134,-1.651893139,-1.609755158,-1.437701941,-1.516200662,-1.522533655,-1.5811764,-1.689123869,-1.742100477,-1.831406713,-1.877233982,-1.659845591,-1.649640918,
Afghanistan,AFG,WGI_DUMMY,,,,,,-2.090330362,,-2.062872171,,-2.080252647,,-1.81154573,-1.463107824,-1.511548996,-1.643440247,-1.689468622,-1.708872318,-1.607166886,-1.664507627,-1.516528249,-1.536323905,-1.192579746,-1.1930902,-1.124133706,-1.018826246,-1.339695096,-1.363010406,-1.138203621,-1.113777995,-1.389163017,-1.311682105,-1.27180624,-1.266425252,
Afghanistan,AFG,WGI_DUMMY,,,,,,-1.90854013,,-2.039301157,,-2.031417131,,-1.433421016,-1.177571177,-1.203033924,-1.12542963,-1.110293984,-1.057653904,-1.168901801,-1.375495195,-1.404467344,-1.335976958,-1.267430067,-1.240139127,-1.135522604,-1.117628098,-1.037836909,-0.990954161,-1.007686734,-1.006712914,-1.078266859,-1.568389416,-1.753528714,-1.85290134,
Albania,ALB,WGI_DUMMY,,,,,,-0.893903494,,-0.992024779,,-0.855563641,,-0.845340908,-0.853786588,-0.723731816,-0.813263893,-0.790545285,-0.706940055,-0.60521239,-0.54527092,-0.531616509,-0.701794147,-0.778729439,-0.751372695,-0.586571813,-0.545140803,-0.472373724,-0.48138684,-0.546018898,-0.564274073,-0.57353878,-0.577179968,-0.408189446,-0.332218528,
Albania,ALB,WGI_DUMMY,,,,,,-0.688587904,,-0.732602537,,-0.917780161,,-0.624333382,-0.563986719,-0.408371657,-0.696387231,-0.580952644,-0.427722543,-0.367063493,-0.25594148,-0.279453218,-0.202177078,-0.268925011,-0.324457377,-0.04977081,0.027575254,0.029082362,0.098552845,0.080524534,-0.062300701,-0.155121222,-0.035985023,0.064540535,0.250855356,
Albania,ALB,WGI_DUMMY,,,,,,-0.336625129,,-0.544004202,,-0.539989591,,-0.297719181,-0.30978024,-0.427259684,-0.505047977,-0.508157313,-0.203974649,-0.030500913,-0.045140512,-0.191482902,-0.282379419,-0.143631592,0.091929786,0.485986233,0.341639042,0.337447882,0.373770744,0.366779268,0.110105053,0.088612519,0.196371928,0.106261313,0.183348969,
Albania,ALB,WGI_DUMMY,,,,,,-0.6844818,,-0.929671705,,-1.020667672,,-0.762321413,-0.716323495,-0.701032341,-0.763833165,-0.703135848,-0.661545992,-0.600079298,-0.494370162,-0.385760486,-0.442926466,-0.519839764,-0.518828869,-0.311199099,-0.3196868,-0.322631985,-0.414191574,-0.414752036,-0.426317364,-0.378028214,-0.28071627,-0.165585101,-0.164097369,
Albania,ALB,WGI_DUMMY,,,,,,-0.474401653,,-0.441555828,,-0.415910125,,-0.311400771,-0.490216553,-0.187491566,-0.400731236,-0.148599386,0.034550302,0.137666509,0.241446003,0.233281955,0.283972561,0.240491986,0.254160255,0.279037684,0.174237311,0.186607629,0.220610321,0.256079823,0.272065461,0.221967235,0.175859392,0.159353822,0.171953663,
Albania,ALB,WGI_DUMMY,,,,,,-0.648297846,,-0.387372851,,-0.285138667,,-0.00815021,0.070307687,0.007237499,0.003671788,0.07588996,0.113008469,0.174939081,0.141477332,0.123838224,0.062333763,0.022064038,0.048864443,0.143689781,0.157135263,0.171097502,0.203885168,0.188786596,0.141965285,0.086325444,0.085588962,0.141740188,0.168997228,
Algeria,DZA,WGI_DUMMY,,,,,,-0.56674093,,-0.916649282,,-0.987298191,,-0.928754985,-0.715244472,-0.699272692,-0.466420472,-0.564962566,-0.592309475,-0.633444846,-0.614938259,-0.552147269,-0.572699666,-0.521544516,-0.472966939,-0.613117993,-0.639462769,-0.673700511,-0.598896265,-0.658903956,-0.656169534,-0.666826963,-0.635961413,-0.638041079,-0.589308321,
Algeria,DZA,WGI_DUMMY,,,,,,-1.088766456,,-0.883071959,,-1.01074934,,-0.614207327,-0.674277365,-0.559222877,-0.446233422,-0.43816179,-0.537276387,-0.603184521,-0.534546137,-0.39590171,-0.520578742,-0.447385341,-0.431544006,-0.33986479,-0.410829484,-0.464708805,-0.53702414,-0.488536388,-0.567920983,-0.573643208,-0.652745783,-0.513499498,-0.67013514,
Algeria,DZA,WGI_DUMMY,,,,,,-1.783310533,,-1.8789047,,-1.432577372,,-1.634565115,-1.754409075,-1.359188437,-0.91366601,-1.126413465,-1.150585532,-1.095846295,-1.196913481,-1.259367585,-1.360560656,-1.325043321,-1.202371478,-1.190535188,-1.090786576,-1.099741936,-0.919614315,-0.842107713,-1.055853844,-0.847820401,-0.992457151,-0.650652349,-0.57788527,
Algeria,DZA,WGI_DUMMY,,,,,,-1.218194842,,-1.198362112,,-1.245844364,,-0.636733174,-0.605380774,-0.616287351,-0.773644507,-0.775204539,-0.791886449,-0.767772257,-0.825566888,-0.816793382,-0.845334828,-0.812617719,-0.693401933,-0.804650962,-0.941968441,-0.916658819,-0.925012648,-0.806978524,-0.861034155,-0.798027575,-0.833022833,-0.83326,-0.678364396,
Algeria,DZA,WGI_DUMMY,,,,,,-0.907437265,,-0.881358743,,-0.71020937,,-0.574951589,-0.481900811,-0.441777736,-0.341526747,-0.500463128,-0.522581637,-0.624736011,-0.964235187,-1.104800701,-1.212379932,-1.320389032,-1.138440609,-1.30188942,-1.256905794,-1.241429925,-1.279498816,-1.346901417,-1.388313293,-1.355300307,-1.181962967,-1.063573241,-0.948087156,
Algeria,DZA,WGI_DUMMY,,,,,,-1.166290164,,-1.244342446,,-1.110052228,,-1.044660211,-1.076718092,-0.802059054,-0.715685964,-0.916875541,-0.984122396,-0.979712248,-1.038418889,-1.022330761,-1.004121184,-0.906026602,-0.893428981,-0.813460827,-0.847631812,-0.861599445,-0.90311408,-0.99526304,-1.053460002,-1.088508606,-1.013778567,-1.011918902,-0.97988379,
American Samoa,ASM,WGI_DUMMY,,,,,,,,,,,,,,0.791444957,0.789309144,0.299861044,0.308062404,0.317555279,0.347466081,0.328756839,0.310445875,0.299411148,0.303002298,1.220693946,1.151729107,1.15941143,1.762287259,1.780649662,1.780229092,1.265453935,1.279687047,1.270272374,1.251356125,
American Samoa,ASM,WGI_DUMMY,,,,,,,,,,,,,,-0.126988679,0.224700347,0.245477885,0.481087029,0.498479098,0.497974843,0.487727553,0.481366098,0.481229633,0.486766905,0.438561887,0.442817569,0.482561141,0.510476232,0.498675555,0.489976645,0.632649243,0.638740063,0.667629123,0.654167771,
American Samoa,ASM,WGI_DUMMY,,,,,,,,,,,,,,0.736926496,0.746284068,0.703987658,0.967931151,0.984463036,0.945724666,0.919146717,0.93399018,0.95299083,0.928985775,1.08068347,1.151678085,1.158555984,1.184323668,1.166297317,1.144933939,1.09020865,1.066840887,1.123173952,1.114221215,
American Samoa,ASM,WGI_DUMMY,,,,,,,,,,,,,,0.83959645,1.109415412,1.069221497,1.090919852,1.117979527,1.125054717,1.1112082,1.090952396,1.09636724,1.101438284,1.40731287,1.285527825,1.279158235,1.295301199,1.296596169,1.268201709,1.118488073,1.138759971,1.221115947,1.212491155,
American Samoa,ASM,WGI_DUMMY,,,,,,,,,,,,,,0.497606158,0.368987888,0.360797524,0.376145482,0.390816242,0.402511686,0.39395842,0.386368304,0.358625293,0.362132907,0.177999645,0.151204303,0.12152876,-0.273731589,-0.306241989,-0.325278997,0.525310516,0.534613013,0.545899749,0.512013555,
American Samoa,ASM,WGI_DUMMY,,,,,,,,,,,,,,0.503726006,0.654332459,0.548463166,0.972128868,0.967198193,0.963811636,0.988284409,1.009051681,1.025671721,1.004731417,1.004731417,1.004731417,1.004731417,1.004731417,1.004731417,1.318547845,0.970990181,0.980956018,0.952084184,0.952084184,
Andorra,ADO,WGI_DUMMY,,,,,,1.318143249,,1.334758759,,1.313403845,,1.310743809,1.33278954,1.119150281,1.269663095,1.25131321,1.26187098,1.27677536,1.317764997,1.301772714,1.272298098,1.260530829,1.253580928,1.220693946,1.151729107,1.15941143,1.171781301,1.178940058,1.176189423,1.265453935,1.279687047,1.270272374,1.251356125,
Andorra,ADO,WGI_DUMMY,,,,,,1.414037704,,1.403356314,,1.380486727,,1.367723227,1.34903717,1.503764033,1.287598014,1.538402796,1.501772642,1.528406501,1.536201119,1.512716174,1.498924255,1.523346066,1.532495499,1.712165952,1.740735412,1.805405617,1.876946449,1.879219413,1.851920605,1.749241352,1.74892807,1.495260715,1.475438714,
Andorra,ADO,WGI_DUMMY,,,,,,1.169522166,,1.182875156,,1.166981459,,1.282766938,1.465131164,1.402106047,1.384927273,1.349654078,1.342015743,1.338472128,1.297139525,1.278272152,1.302488327,1.290351152,1.28392601,1.286593318,1.365985394,1.382750273,1.392889738,1.391248584,1.57736671,1.58867538,1.58125937,1.585988402,1.583465934,
