Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,99,,,,,,,,,,99,,,,,,,,,,99.51999664,,,,
Africa Eastern and Southern,AFE,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,70.73105621,70.27037048,70.33677673,70.38964844,70.68782806,70.84868622,71.19882202,70.42120361,71.32849121,71.46378326,71.59179688,73.45619965,73.66161346,73.72135162,72.97592163,71.01979065,72.12860107,72.56928253,73.19190979,74.46552277,77.0578537,78.92629242,79.82782745,80.26187897,80.67321014,81.29400635,81.57585144,81.93054962,82.46688843,82.61358643,82.80454254,83.03627014,83.22039032,
Afghanistan,AFG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,47,,,,35.82083893,,,,,,56,62.65999985,,
Africa Western and Central,AFW,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,58.55585098,59.22602844,59.94535828,60.81365967,60.4066391,61.2105217,62.09215927,63.43185043,64.00879669,59.73144913,61.00244904,61.47523117,61.76179123,63.12984848,63.21749878,63.83518982,62.48220825,62.50662994,62.60078812,63.08218002,63.75938034,64.4192276,65.38684082,66.2248764,67.18641663,67.65442657,68.70076752,71.05143738,70.81114197,70.92401886,71.26612091,71.60542297,71.84809113,
Angola,AGO,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,72,,,,,,,,,,,,,77,75.66081238,,,,,,,83.30000305,,
Albania,ALB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,99,,,,,,,99,95.68000031,,99,99,,,,,99.02406311,,,,,99.5,,
Andorra,AND,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,74.62615204,75.69454193,75.38424683,76.24072266,77.14183807,78.09221649,79.02153778,79.77651978,80.5431366,81.23448944,82.05300903,82.76274872,83.86834717,84.52797699,84.90261078,83.49822998,84.41886139,85.24298096,82.7206192,83.20761108,83.960289,85.03819275,85.7600174,85.92566681,86.10385132,84.69624329,85.01940155,85.29405212,85.5621109,85.85220337,86.18074036,86.39321136,86.58056641,
United Arab Emirates,ARE,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,98,,100,100,,
Argentina,ARG,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,98,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,
