Year,Value,Z-Score
2025.0,160.72284,0.41704753
2025.0,58.26418,0.40470603
2025.0,55.298832,0.11823872
2025.0,65.18526,-0.0103723705
2025.0,117.75483,-0.47573993
2025.0,111.13154,0.44776776
2025.0,127.287865,0.5015545
2025.0,113.59518,0.38194755
2025.0,141.91248,0.3198543
2025.0,69.96613,0.4005256
2025.0,34.76055,-0.16957262
2025.0,62.83632,0.47885302
2025.0,47.243187,0.17965081
2025.0,110.95626,0.47401145
2025.0,96.6105,-0.13583419
2025.0,203.81972,0.38426927
2025.0,19.161741,2.8168073
2025.0,72.01449,0.21898606
2025.0,93.22265,-0.59147215
2025.0,49.133446,0.40047196
2025.0,69.13673,0.47168902
2025.0,134.37003,0.33665517
2025.0,102.35483,-0.476891
2025.0,58.108315,0.89084053
2025.0,76.00355,0.39790896
2025.0,97.51036,0.4232116
2025.0,81.53816,0.57762027
2025.0,67.371315,0.5221255
2025.0,48.869305,0.28264192
2025.0,225.38837,0.3416815
2025.0,10.258828,0.71884334
2025.0,77.96782,0.38252428
2025.0,228.20842,0.49960235
2025.0,115.24876,0.34685424
2025.0,244.428,0.44039539
2025.0,196.07718,0.6653776
2025.0,127.720634,0.47142938
2025.0,111.560814,-0.5805712
2025.0,131.41678,0.24636129
2025.0,138.60153,1.563868
2025.0,49.98743,-0.5907942
2025.0,99.737465,1.3152852
2025.0,33.561104,3.4535165
2025.0,46.02634,0.5006347
2025.0,14.89914,1.1174557
2025.0,28.394102,1.8270826
2025.0,76.45236,0.25889543
2025.0,179.13882,0.35095742
2025.0,7.762123,1.9252902
2025.0,74.10024,1.6456776
2025.0,164.34233,0.39090684
2025.0,18.502264,-0.6813288
2025.0,49.721657,0.32661656
2025.0,114.038864,0.48650077
2025.0,131.1456,0.24829963
2025.0,23.755468,1.5118573
2025.0,101.59405,0.32614902
2025.0,97.79829,0.3538809
2025.0,182.04553,0.37249473
2025.0,65.10108,0.7076597
2025.0,57.577835,0.06711021
2025.0,129.61333,0.4145017
2025.0,28.072584,1.8974266
2025.0,34.254593,0.14369074
2025.0,58.801388,1.7380322
2025.0,19.684122,1.9189677
2025.0,32.567642,0.23613241
2025.0,104.386826,0.41585758
2025.0,35.66061,0.5087234
2025.0,69.21075,0.087310344
2025.0,119.199326,0.25158885
2025.0,92.49857,0.4017103
2025.0,72.1681,-0.54268956
2025.0,27.450018,0.9816246
2025.0,121.67264,-0.09124896
2025.0,108.92147,0.3799763
2025.0,19.995691,0.34588096
2025.0,111.80474,0.103379756
2025.0,195.05348,0.37897685
2025.0,106.54732,0.37380794
2025.0,168.6819,0.4002848
2025.0,76.70866,0.2580929
2025.0,78.07984,0.30929902
2025.0,167.11383,0.26874927
2025.0,79.867516,0.3944147
2025.0,30.238928,1.1969247
2025.0,91.728676,0.36971548
2025.0,20.655874,1.0861905
2025.0,186.26662,-0.7758379
2025.0,55.391945,0.30439618
2025.0,58.750084,-0.78312945
2025.0,48.847736,0.31268027
2025.0,61.526356,0.09447244
2025.0,68.47019,0.26622966
2025.0,96.303444,0.47346452
2025.0,149.32153,0.3695598
2025.0,107.111565,0.5044701
2025.0,125.52965,0.3602405
2025.0,65.87166,0.108516484
2025.0,26.823343,0.85818446
2025.0,81.13317,0.43687728
2025.0,30.304726,0.41670957
2025.0,24.109232,-0.21001789
2025.0,167.00603,0.19536021
2025.0,95.1202,0.34557775
2025.0,70.45173,-0.20990893
2025.0,83.755684,2.5644677
2025.0,105.17696,0.34776595
2025.0,48.08947,-0.19362363
2025.0,87.93611,0.3525944
2025.0,218.86032,0.4103928
2025.0,114.54778,0.3986316
2025.0,28.223124,0.5743326
2025.0,70.655014,0.32788447
2025.0,126.390144,0.1946607
2025.0,132.70966,0.26448587
2025.0,99.3572,0.40890506
2025.0,198.47693,0.35595277
2025.0,139.74971,-0.2540712
2025.0,139.13667,0.2977529
2025.0,38.017303,0.6745535
2025.0,121.88259,0.33748105
2025.0,12.47096,2.122141
2025.0,87.917336,0.36881688
2025.0,59.125748,0.31958678
2025.0,57.589333,0.39503196
2025.0,99.596176,0.38229874
2025.0,74.923195,0.42427376
2025.0,50.916008,0.3629866
2025.0,26.945383,0.68162906
2025.0,79.54867,0.39173868
2025.0,22.153738,2.6825624
2025.0,39.88186,1.5192405
2025.0,109.79206,0.38662103
2025.0,141.27196,0.17829469
2025.0,46.179253,0.6035969
2025.0,157.4938,-0.09480187
2025.0,107.37346,0.35004905
2025.0,26.36759,0.26522547
2025.0,116.72346,0.36319545
2025.0,135.4404,0.36739305
2025.0,108.07779,0.44260982
2025.0,100.70062,-0.15939996
2025.0,-0.32755893,1.3958521
2025.0,52.426178,1.4365039
2025.0,60.004917,0.6286683
2025.0,11.14725,1.6500745
2025.0,71.04853,0.07980731
2025.0,70.92159,0.3169842
2025.0,9.582021,0.6994834
2025.0,23.866991,0.5134667
2025.0,97.62792,0.39600328
2025.0,54.001736,0.7680621
2025.0,78.24267,0.7400522
2025.0,110.32832,0.024429828
2025.0,124.07503,0.43603805
2025.0,139.90027,0.37345365
2025.0,88.27875,0.24437097
2025.0,178.61078,0.3448272
2025.0,51.845177,0.5301336
2025.0,91.91476,0.3103154
2025.0,15.415647,1.5261598
2025.0,190.80411,0.45211747
2025.0,27.222507,0.6602336
2025.0,21.548513,-0.7490622
2025.0,143.02316,0.9153986
2025.0,113.26533,0.65988445
2025.0,179.50998,0.3162184
2025.0,53.41794,0.2134147
2025.0,80.20478,0.34611467
2025.0,33.131737,0.2922562
2025.0,158.36868,0.47461846
2025.0,124.77794,0.32030013
2025.0,147.34702,0.473681
2025.0,169.1916,0.42802194
2025.0,371.134,0.35362723
2025.0,70.74529,-0.0837917
2025.0,70.80936,-0.6998446
2025.0,130.55022,0.23815587
2025.0,49.671112,1.8924098
2025.0,65.02831,0.40218547
2025.0,66.94065,0.36087635
2025.0,70.33164,0.248112
2025.0,18.350466,0.027166277
2025.0,51.67011,-0.39093193
2025.0,128.59927,0.04833272
2025.0,44.038643,-0.22301385
2025.0,172.44556,0.35196546
2025.0,34.640038,0.56561494
2025.0,10.987521,5.011964
2025.0,56.585823,0.4731541
2025.0,73.82681,0.9370322
2025.0,71.55609,0.5034337
2025.0,113.237015,0.37597707
2025.0,194.3213,0.39739707
2025.0,79.23696,-0.3819804
2025.0,20.288296,0.9725003
2025.0,47.6902,1.8025134
2025.0,108.59066,0.42824462
2025.0,46.85557,0.29668596
2025.0,64.51846,0.46131542
2025.0,140.00122,0.24262956
2025.0,59.606777,-0.72338057
2025.0,97.56666,0.38460854
2025.0,53.517555,0.6867466
2025.0,112.604164,0.39283898
2025.0,99.36484,0.40818456
2025.0,69.79867,0.68292856
2025.0,152.56052,0.23096994
2025.0,51.16187,1.0973685
2025.0,93.35673,0.45824078
2025.0,57.490215,0.4989126
2025.0,50.821327,-0.8235891
2025.0,88.3523,0.37028602
2025.0,145.30994,0.056424648
2025.0,11.565759,0.56824374
2025.0,64.660576,0.8086029
2025.0,214.2974,0.32641223
2025.0,214.29527,0.3295031
2025.0,136.84944,0.21843818
2025.0,145.64839,0.494638
2025.0,52.99904,0.6767795
2025.0,187.75607,-0.3619289
2025.0,116.34882,-0.65470386
2025.0,7.527059,2.380778
2025.0,175.68777,-0.21655509
2025.0,83.37495,0.43021086
2025.0,88.05245,-0.07681677
2025.0,14.75681,3.074342
2025.0,100.02225,0.28631452
2025.0,87.88119,1.5142186
2025.0,120.505646,0.38007596
2025.0,144.81726,0.35423473
2025.0,190.17426,0.3130608
2025.0,90.54507,0.38611034
2025.0,110.540665,0.40516666
2025.0,52.69093,-1.0964555
2025.0,94.11358,0.3561733
2025.0,82.59203,0.14573243
2025.0,85.970146,0.70323324
2025.0,94.19832,0.35680154
2025.0,107.72855,0.38150504
2025.0,38.384785,1.6622092
2025.0,119.191124,0.39487508
2025.0,94.40769,0.46188667
2025.0,136.27948,-0.18363616
2025.0,85.52131,0.36832193
2025.0,78.84736,-0.4625685
2025.0,14.17607,-1.1497192
2025.0,135.15332,0.45115474
2025.0,72.482475,-0.29459807
2025.0,105.16341,0.47491267
2025.0,153.60184,0.38202956
2025.0,52.70951,0.15004364
2025.0,154.89688,0.31723455
2025.0,191.8908,0.35512927
2025.0,18.61069,0.8728206
2025.0,49.637947,-0.13589033
2025.0,120.042885,0.2593284
2025.0,25.371107,1.2554021
2025.0,31.467793,3.3412209
2025.0,63.167942,1.4054078
2025.0,48.180847,-0.111016005
2025.0,92.01095,0.43824938
2025.0,10.060651,2.5567887
2025.0,43.55565,0.5221318
2025.0,57.131134,2.1467645
2025.0,7.6752243,-0.28123793
2025.0,116.46573,0.37009242
2025.0,110.649086,0.109475166
2025.0,73.03549,-0.603961
2025.0,44.89019,1.0320684
2025.0,115.126076,0.3617163
2025.0,53.149155,3.3661473
2025.0,104.56602,0.51191235
2025.0,314.5276,0.30912784
2025.0,144.45639,0.35949853
2025.0,117.63972,0.46194223
2025.0,26.045336,0.639549
2025.0,193.95605,0.428587
2025.0,74.73188,1.2338357
2025.0,168.37567,0.22671273
2025.0,67.71426,0.3246322
2025.0,42.07216,-1.0259916
2025.0,39.015053,1.965837
2025.0,54.286186,0.47937825
2025.0,61.270092,0.42739633
2025.0,89.37707,0.47121575
2025.0,13.006516,1.8117418
2025.0,131.49765,0.42078593
2025.0,111.73995,0.32159045
2025.0,81.74842,0.44458345
2025.0,64.96068,1.0415322
2025.0,130.59262,0.45394424
2025.0,132.48848,0.4239588
2025.0,74.00063,0.30078533
2025.0,144.64534,0.3833857
2025.0,58.23873,0.082653314
2025.0,65.82479,0.44024017
2025.0,45.72786,-0.4402531
2025.0,25.70955,2.1542513
2025.0,69.79999,0.57423615
2025.0,163.64108,0.4660006
2025.0,138.06125,0.37093118
2025.0,98.29174,0.4441755
2025.0,53.941177,0.023397356
2025.0,37.71273,-0.012396425
2025.0,42.98445,0.80743515
2025.0,68.351524,-0.3695397
2025.0,191.41599,0.43569663
2025.0,172.79356,0.37324288
2025.0,196.80183,0.36981967
2025.0,47.655712,-0.0683938
2025.0,59.704823,1.5061812
2025.0,79.73196,0.41579083
2025.0,93.00937,0.5357044
2025.0,95.52043,0.110339195
2025.0,37.20779,1.0000913
2025.0,144.71661,0.4048467
2025.0,197.60071,-0.2143564
2025.0,41.904682,0.7353314
2025.0,163.1351,0.4268146
2025.0,158.21658,0.43188575
2025.0,98.257416,0.16505364
2025.0,53.54091,0.9600514
2025.0,189.9766,0.23527339
2025.0,130.11145,0.34789565
2025.0,52.47014,-0.34010193
2025.0,201.9775,0.35115865
2025.0,119.652565,0.41827968
2025.0,28.003683,1.3009504
2025.0,81.419876,-0.0919089
2025.0,97.14444,0.36552718
2025.0,18.445265,0.2994376
2025.0,84.4439,0.35865715
2025.0,50.01635,-0.5074345
2025.0,152.59201,0.37869838
2025.0,41.824104,0.26957968
2025.0,78.570595,0.22489575
2025.0,84.99265,0.41404274
2025.0,154.25772,1.233355
2025.0,85.941376,0.4043837
2025.0,61.254753,0.80310595
2025.0,54.978672,0.39543322
2025.0,18.751993,-0.11171681
2025.0,77.84724,0.3018439
2025.0,116.29227,0.433188
2025.0,47.162884,-0.6533954
2025.0,112.59007,0.41995528
2025.0,71.33395,-0.019242257
2025.0,255.18942,0.3682957
2025.0,60.864784,0.164341
2025.0,121.899826,-0.24129674
2025.0,73.12826,0.73782015
2025.0,92.4222,0.36322
2025.0,59.533325,1.0857005
2025.0,250.93764,0.35685828
2025.0,43.83291,0.4197736
2025.0,48.017223,0.42028883
2025.0,16.845564,2.4229088
2025.0,59.7998,0.37763122
2025.0,133.79973,0.42783883
2025.0,63.539772,0.43927506
2025.0,100.9771,0.41393712
2025.0,62.592636,-0.62959707
2025.0,39.675373,3.10909
2025.0,64.588715,0.40814188
2025.0,90.56455,0.29454997
2025.0,100.87292,0.45179418
2025.0,106.1477,0.35105518
2025.0,160.87518,0.43025115
2025.0,22.66278,0.6845573
2025.0,99.451164,0.907403
2025.0,126.19279,0.0706673
2025.0,130.78725,0.30193332
2025.0,74.65614,0.51972604
2025.0,70.63363,0.28222778
2025.0,100.82308,0.4218321
2025.0,44.658936,-1.1346527
2025.0,99.66437,0.43703535
2025.0,45.43757,0.03092745
2025.0,29.175806,2.7709484
2025.0,105.13154,0.2701359
2025.0,137.12097,0.36231998
2025.0,56.8039,0.4750432
2025.0,49.86412,1.2890918
2025.0,120.29745,0.25867513
2025.0,104.865326,0.2024608
2025.0,77.56913,0.36689666
2025.0,103.6498,0.41407922
2025.0,96.689865,0.40700534
2025.0,44.631447,0.02229765
2025.0,74.825676,0.29956606
2025.0,36.61473,0.72233176
2025.0,78.952156,0.32911828
2025.0,30.184195,-0.028739482
2025.0,16.550386,1.5346055
2025.0,106.151024,0.20216039
2025.0,46.67812,0.3701841
2025.0,188.56918,-0.07821557
2025.0,75.70658,0.71802115
2025.0,55.757065,0.36731163
2025.0,82.79382,0.81634784
2025.0,85.30317,0.35502222
2025.0,134.74763,0.39329627
2025.0,92.101295,0.9883852
2025.0,43.086422,-0.23384902
2025.0,82.24238,0.40263656
2025.0,23.782438,2.8146286
2025.0,32.695477,0.025702864
2025.0,120.72857,0.40393928
2025.0,162.51392,0.16864112
2025.0,84.371376,0.3202794
2025.0,71.18351,-0.08922979
2025.0,81.70879,0.39702466
2025.0,110.34429,0.1456261
2025.0,109.03013,0.42323354
2025.0,26.25907,0.90214515
2025.0,41.91101,1.7895321
2025.0,127.339516,0.404954
2025.0,192.90399,0.4291568
2025.0,4.405918,1.8209045
2025.0,37.85986,0.65460277
2025.0,70.89605,1.7834822
2025.0,61.664047,0.16277388
